filename,R,G,B,H,S,V,contrast,correlation,energy,homogeneity,label
243445.jpeg,120.90431680484694,135.59572305484693,137.5022520727041,51.134207589285715,69.99410076530613,148.89835778061226,7.8992432735426,0.9984254721548702,0.03819072447826676,0.5268961559876192,segar
325535.jpeg,140.1688855229592,141.99946189413265,136.11967873086735,45.90648915816327,22.133350605867346,144.02002949617346,18.319927130044846,0.9963416319484651,0.028366748658922615,0.3846706367800521,segar
34212241.jpeg,120.56503109056122,133.36918048469389,145.88632015306123,102.76472815688776,55.6435546875,146.04069674744898,14.45825992953235,0.9975725208158954,0.023784082686499876,0.3766907263902402,segar
423424.jpeg,181.21873007015307,181.87338568239795,166.95705117984693,42.24760841836735,37.61362005739796,185.59650031887756,32.936559096732864,0.9967177552095184,0.04858169586077283,0.4422091149297963,segar
432424324.jpeg,163.95268654336735,164.34685905612244,163.89969308035714,73.75396603954081,8.819415656887756,166.29496173469389,51.23046124279308,0.9931990598726156,0.020032321744703895,0.25272556417258457,segar
435235.jpeg,158.92297114158163,160.4583665497449,149.7331393494898,42.94887994260204,32.13785475127551,162.60305723852042,24.70405589365791,0.9972721774655855,0.03186733242196089,0.41732776571423413,segar
4432421.jpeg,83.4614556760204,134.5183553890306,180.8435507015306,103.90880102040816,143.79155373086735,180.90971779336735,52.09467088404868,0.9936166581197051,0.05106530244495098,0.4046617993274199,segar
524335325.jpeg,113.66517857142857,124.64803890306122,128.6146165497449,61.98862005739796,52.959642059948976,135.3926777742347,27.575432415118517,0.9949302903852845,0.031199420479882656,0.3695645941004695,segar
543255235.jpeg,127.38735650510205,133.07497608418367,133.80269451530611,50.63823341836735,59.77270009566327,143.46719547193877,47.01273222293402,0.9947542455771697,0.021864336576273517,0.3072973109511562,segar
g.jpeg,86.82517538265306,94.04494180484694,108.35993303571429,100.21940768494898,77.70248724489795,110.75560028698979,24.377102017937226,0.9958378444639381,0.02907534939964673,0.3964326469238204,segar
IMG20260613102000.jpg,111.59992825255102,110.89835778061224,112.6224290497449,81.3500677614796,39.292550223214285,118.15210459183673,52.76121076233184,0.9926612175965099,0.021326735656546653,0.26760753990245734,segar
IMG20260613102013.jpg,144.56006855867346,151.11971859056123,153.16198979591837,83.00191326530613,36.657106983418366,157.32505580357142,62.09302930813582,0.9918524954500237,0.017290405549854043,0.2317084804284903,segar
IMG20260613102016.jpg,141.64327566964286,149.1651387117347,152.5216438137755,61.960518973214285,44.04966517857143,159.94571109693877,57.97643737988469,0.9869759100201559,0.02083696772494622,0.23214253361261483,segar
IMG20260613102019.jpg,128.32110969387756,127.13117825255102,126.44533242984694,64.59466677295919,33.873066804846935,131.9027024872449,59.7606302049968,0.9920308478958333,0.03847204731902284,0.25711127533839795,segar
IMG20260613102027.jpg,144.49240672831633,146.4806680484694,145.06784119897958,75.06612723214286,20.103575414540817,149.96434550382654,41.94244474695708,0.9937712032340554,0.017472133456375067,0.25718062530654284,segar
IMG20260613102034.jpg,129.0603874362245,133.23483338647958,136.12639508928572,62.07471699617347,45.976781728316325,145.60313695790816,46.67761050608584,0.9861506369104703,0.02222340644556878,0.26169437667938944,segar
IMG20260613102039.jpg,125.62256855867346,125.97881457270408,126.8843072385204,76.63087930484694,24.91599569515306,130.2081672512755,62.21388532991672,0.9905612267399613,0.017135065260881512,0.23145824798836617,segar
IMG20260613102046.jpg,159.6373365752551,152.7561583227041,145.52409518494898,34.29569913903061,33.701929209183675,163.11393893494898,31.60133728379244,0.9944946136146514,0.020364165594363572,0.2715356478000881,segar
